                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6439,                0.05682,                0.26136,                 3.6079,             0.00012138,             0.00012138,             0.00012138
                      2,                 3.4207,                0.17045,                0.46591,                  3.601,                0.00024,                0.00024,                0.00024
                      3,                 3.1004,                0.40909,                0.71591,                 3.5817,             0.00034845,             0.00034845,             0.00034845
                      4,                 2.7068,                0.59091,                0.78409,                 3.5385,             0.00044672,             0.00044672,             0.00044672
                      5,                 2.1085,                0.65909,                0.86364,                 3.4436,              0.0005348,              0.0005348,              0.0005348
                      6,                 1.6161,                   0.75,                0.92045,                 3.2972,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.1041,                0.79545,                0.93182,                  3.185,             0.00054435,             0.00054435,             0.00054435
                      8,                0.73896,                0.81818,                0.96591,                  3.054,             0.00051608,             0.00051608,             0.00051608
                      9,                0.47352,                0.85227,                0.96591,                 3.0013,              0.0004878,              0.0004878,              0.0004878
                     10,                0.35841,                  0.875,                0.97727,                 2.9481,             0.00045953,             0.00045953,             0.00045953
                     11,                0.25295,                0.90909,                0.98864,                 2.9265,             0.00043126,             0.00043126,             0.00043126
                     12,                0.17649,                0.93182,                0.98864,                 2.8997,             0.00040298,             0.00040298,             0.00040298
                     13,                 0.1889,                0.92045,                0.98864,                 2.8771,             0.00037471,             0.00037471,             0.00037471
                     14,                0.15331,                0.94318,                0.98864,                 2.8586,             0.00034643,             0.00034643,             0.00034643
                     15,                0.13831,                0.94318,                0.98864,                 2.8448,             0.00031816,             0.00031816,             0.00031816
                     16,                0.13085,                0.94318,                0.98864,                 2.8427,             0.00028988,             0.00028988,             0.00028988
                     17,                0.14704,                0.94318,                      1,                 2.8355,             0.00026161,             0.00026161,             0.00026161
                     18,                 0.1104,                0.94318,                      1,                 2.8367,             0.00023334,             0.00023334,             0.00023334
                     19,                0.12018,                0.94318,                0.98864,                 2.8272,             0.00020506,             0.00020506,             0.00020506
                     20,                0.09336,                0.93182,                0.98864,                 2.8304,             0.00017679,             0.00017679,             0.00017679
                     21,                0.08002,                0.94318,                0.98864,                 2.8278,             0.00014851,             0.00014851,             0.00014851
                     22,                0.08733,                0.94318,                0.98864,                 2.8229,             0.00012024,             0.00012024,             0.00012024
                     23,                0.11705,                0.93182,                0.98864,                 2.8213,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                 0.1018,                0.93182,                0.98864,                 2.8131,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.09582,                0.94318,                0.98864,                 2.8152,             3.5414e-05,             3.5414e-05,             3.5414e-05
